ID,Item Name,Category,District,BRC,New Qty,Available,Used,Damaged,Consumed,Month,Remarks,Status
EC16-E,Timer IC - NE 555,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC08-E,IC LM 358,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC06-E,Counter IC CD 4017,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC07/02-E,Diode- IN 4148,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC07/01-E,Diode - IN 4007,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC05/12-E,Capacitor 2200 µF,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC05/08-E,Capacitor 1000 µF,Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC05/17-E,Capacitor 470 µF,Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC05/11-E,Capacitor 220 µF,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC05/07-E,Capacitor 100 µF,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC05/16-E,Capacitor 47 µF,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC05/10-E,Capacitor 22 µF,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC05/06-E,Capacitor 10 µF,Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC05/14-E,Capacitor 4.7 µF,Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC05/09-E,Capacitor 2.2 µF,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC05/05-E,Capacitor 1 µF,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC05/15-E,Capacitor 4.7 pF,Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC05/13-E,Capacitor 27 pF,Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC05/03-E,Capacitor 0.047 µF,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC05/04-E,Capacitor 0.1 µF,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC05/01-E,Capacitor 0.001 µF,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC05/02-E,Capacitor 0.01 µF,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC04/03-E,Burg Strips M Right angle,Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC04/02-E,Burg Strips M,Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC03-E,Breadboard Power Supply Module,Electronic components,ALAPPUZHA,32110100105SH,10,10,0,0,0,N/A,,ACTIVE
EC02/02-E,Breadboard Mini,Electronic components,ALAPPUZHA,32110100105SH,10,10,0,0,0,N/A,,ACTIVE
EC02/01-E,Breadboard Big,Electronic components,ALAPPUZHA,32110100105SH,10,10,0,0,0,N/A,,ACTIVE
EC10-E,Magnetic Reed Switch,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC04/01-E,Burg Strips F,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
